,ruido,frec_obs,periodo,n_seg,n_meses,ok
1592,0.8,14,90,20,3,False
1593,0.8,14,90,20,6,True
1594,0.8,14,90,20,9,True
1595,0.8,14,90,20,12,True
1596,0.8,14,120,20,3,False
1597,0.8,14,120,20,6,False
1598,0.8,14,120,20,9,True
1599,0.8,14,120,20,12,True
1600,0.8,14,150,20,3,True
1601,0.8,14,150,20,6,True
1602,0.8,14,150,20,9,False
1603,0.8,14,150,20,12,True
1604,0.8,14,180,20,3,False
1605,0.8,14,180,20,6,True
1606,0.8,14,180,20,9,True
1607,0.8,14,180,20,12,True
1608,0.8,14,210,20,3,True
1609,0.8,14,210,20,6,True
1610,0.8,14,210,20,9,True
1611,0.8,14,210,20,12,True
1612,0.8,14,240,20,3,False
1613,0.8,14,240,20,6,True
1614,0.8,14,240,20,9,True
1615,0.8,14,240,20,12,True
1616,0.8,14,270,20,3,True
1617,0.8,14,270,20,6,True
1618,0.8,14,270,20,9,True
1619,0.8,14,270,20,12,True
1620,0.8,14,300,20,3,True
1621,0.8,14,300,20,6,True
1622,0.8,14,300,20,9,True
1623,0.8,14,300,20,12,True
1624,0.8,14,330,20,3,True
1625,0.8,14,330,20,6,True
1626,0.8,14,330,20,9,True
1627,0.8,14,330,20,12,True
1628,0.8,14,360,20,3,True
1629,0.8,14,360,20,6,True
1630,0.8,14,360,20,9,True
1631,0.8,14,360,20,12,True
1632,0.8,21,30,20,3,False
1633,0.8,21,30,20,6,False
1634,0.8,21,30,20,9,False
1635,0.8,21,30,20,12,False
1636,0.8,21,60,20,3,True
1637,0.8,21,60,20,6,False
1638,0.8,21,60,20,9,False
1639,0.8,21,60,20,12,False
1640,0.8,21,90,20,3,False
1641,0.8,21,90,20,6,False
1642,0.8,21,90,20,9,True
1643,0.8,21,90,20,12,False
1644,0.8,21,120,20,3,False
1645,0.8,21,120,20,6,False
1646,0.8,21,120,20,9,False
1647,0.8,21,120,20,12,False
1648,0.8,21,150,20,3,False
1649,0.8,21,150,20,6,False
1650,0.8,21,150,20,9,True
1651,0.8,21,150,20,12,True
1652,0.8,21,180,20,3,False
1653,0.8,21,180,20,6,True
1654,0.8,21,180,20,9,True
1655,0.8,21,180,20,12,True
1656,0.8,21,210,20,3,False
1657,0.8,21,210,20,6,False
1658,0.8,21,210,20,9,False
1659,0.8,21,210,20,12,True
1660,0.8,21,240,20,3,False
1661,0.8,21,240,20,6,True
