,ruido,frec_obs,periodo,n_seg,ok
1471,2.5000000000000004,29,241,20,False
1472,2.5000000000000004,29,271,20,True
1473,2.5000000000000004,29,301,20,True
1474,2.5000000000000004,29,331,20,True
1475,2.6,1,1,20,False
1476,2.6,1,31,20,True
1477,2.6,1,61,20,True
1478,2.6,1,91,20,True
1479,2.6,1,121,20,True
1480,2.6,1,151,20,True
1481,2.6,1,181,20,True
1482,2.6,1,211,20,True
1483,2.6,1,241,20,True
1484,2.6,1,271,20,True
1485,2.6,1,301,20,True
1486,2.6,1,331,20,True
1487,2.6,8,1,20,False
1488,2.6,8,31,20,False
1489,2.6,8,61,20,True
1490,2.6,8,91,20,True
1491,2.6,8,121,20,True
1492,2.6,8,151,20,True
1493,2.6,8,181,20,True
1494,2.6,8,211,20,True
1495,2.6,8,241,20,True
1496,2.6,8,271,20,True
1497,2.6,8,301,20,True
1498,2.6,8,331,20,True
1499,2.6,15,1,20,False
1500,2.6,15,31,20,False
1501,2.6,15,61,20,True
1502,2.6,15,91,20,False
1503,2.6,15,121,20,True
1504,2.6,15,151,20,True
1505,2.6,15,181,20,True
1506,2.6,15,211,20,True
1507,2.6,15,241,20,True
1508,2.6,15,271,20,True
1509,2.6,15,301,20,True
1510,2.6,15,331,20,True
1511,2.6,22,1,20,False
1512,2.6,22,31,20,False
1513,2.6,22,61,20,False
1514,2.6,22,91,20,False
1515,2.6,22,121,20,True
1516,2.6,22,151,20,True
1517,2.6,22,181,20,True
1518,2.6,22,211,20,True
1519,2.6,22,241,20,True
1520,2.6,22,271,20,False
1521,2.6,22,301,20,True
1522,2.6,22,331,20,False
1523,2.6,29,31,20,False
1524,2.6,29,61,20,False
1525,2.6,29,91,20,True
1526,2.6,29,121,20,True
1527,2.6,29,151,20,True
1528,2.6,29,181,20,True
1529,2.6,29,211,20,True
1530,2.6,29,241,20,False
1531,2.6,29,271,20,True
1532,2.6,29,301,20,False
1533,2.6,29,331,20,True
1534,2.7,1,1,20,False
1535,2.7,1,31,20,False
1536,2.7,1,61,20,True
1537,2.7,1,91,20,True
1538,2.7,1,121,20,True
1539,2.7,1,151,20,True
1540,2.7,1,181,20,True
1541,2.7,1,211,20,True
1542,2.7,1,241,20,True
1543,2.7,1,271,20,True
1544,2.7,1,301,20,True
1545,2.7,1,331,20,True
1546,2.7,8,1,20,False
1547,2.7,8,31,20,False
1548,2.7,8,61,20,False
1549,2.7,8,91,20,True
1550,2.7,8,121,20,True
1551,2.7,8,151,20,True
1552,2.7,8,181,20,False
1553,2.7,8,211,20,True
1554,2.7,8,241,20,True
1555,2.7,8,271,20,True
1556,2.7,8,301,20,True
1557,2.7,8,331,20,True
1558,2.7,15,1,20,False
1559,2.7,15,31,20,False
1560,2.7,15,61,20,False
1561,2.7,15,91,20,True
1562,2.7,15,121,20,False
1563,2.7,15,151,20,True
1564,2.7,15,181,20,True
1565,2.7,15,211,20,True
1566,2.7,15,241,20,True
1567,2.7,15,271,20,True
1568,2.7,15,301,20,True
1569,2.7,15,331,20,True
1570,2.7,22,1,20,False
1571,2.7,22,31,20,False
1572,2.7,22,61,20,False
1573,2.7,22,91,20,False
1574,2.7,22,121,20,False
1575,2.7,22,151,20,True
1576,2.7,22,181,20,True
1577,2.7,22,211,20,True
1578,2.7,22,241,20,True
1579,2.7,22,271,20,True
1580,2.7,22,301,20,True
1581,2.7,22,331,20,True
1582,2.7,29,31,20,False
1583,2.7,29,61,20,False
1584,2.7,29,91,20,False
1585,2.7,29,121,20,True
1586,2.7,29,151,20,False
1587,2.7,29,181,20,False
1588,2.7,29,211,20,False
1589,2.7,29,241,20,False
1590,2.7,29,271,20,True
1591,2.7,29,301,20,False
1592,2.7,29,331,20,True
1593,2.8000000000000003,1,1,20,False
1594,2.8000000000000003,1,31,20,True
1595,2.8000000000000003,1,61,20,True
1596,2.8000000000000003,1,91,20,True
1597,2.8000000000000003,1,121,20,True
1598,2.8000000000000003,1,151,20,True
1599,2.8000000000000003,1,181,20,True
1600,2.8000000000000003,1,211,20,True
1601,2.8000000000000003,1,241,20,True
1602,2.8000000000000003,1,271,20,True
1603,2.8000000000000003,1,301,20,True
1604,2.8000000000000003,1,331,20,True
1605,2.8000000000000003,8,1,20,False
1606,2.8000000000000003,8,31,20,False
1607,2.8000000000000003,8,61,20,True
1608,2.8000000000000003,8,91,20,True
1609,2.8000000000000003,8,121,20,True
1610,2.8000000000000003,8,151,20,True
1611,2.8000000000000003,8,181,20,True
1612,2.8000000000000003,8,211,20,True
1613,2.8000000000000003,8,241,20,True
1614,2.8000000000000003,8,271,20,True
1615,2.8000000000000003,8,301,20,False
1616,2.8000000000000003,8,331,20,True
