,ruido,frec_obs,periodo,n_seg,n_meses,ok
636,0.6000000000000001,14,120,20,3,False
637,0.6000000000000001,14,120,20,6,True
638,0.6000000000000001,14,120,20,9,False
639,0.6000000000000001,14,120,20,12,True
640,0.6000000000000001,14,150,20,3,True
641,0.6000000000000001,14,150,20,6,False
642,0.6000000000000001,14,150,20,9,False
643,0.6000000000000001,14,150,20,12,True
644,0.6000000000000001,14,180,20,3,False
645,0.6000000000000001,14,180,20,6,True
646,0.6000000000000001,14,180,20,9,False
647,0.6000000000000001,14,180,20,12,False
648,0.6000000000000001,14,210,20,3,True
649,0.6000000000000001,14,210,20,6,True
650,0.6000000000000001,14,210,20,9,True
651,0.6000000000000001,14,210,20,12,True
652,0.6000000000000001,14,240,20,3,True
653,0.6000000000000001,14,240,20,6,False
654,0.6000000000000001,14,240,20,9,True
655,0.6000000000000001,14,240,20,12,True
656,0.6000000000000001,14,270,20,3,False
657,0.6000000000000001,14,270,20,6,True
658,0.6000000000000001,14,270,20,9,True
659,0.6000000000000001,14,270,20,12,True
660,0.6000000000000001,14,300,20,3,False
661,0.6000000000000001,14,300,20,6,True
662,0.6000000000000001,14,300,20,9,True
663,0.6000000000000001,14,300,20,12,True
664,0.6000000000000001,14,330,20,3,False
665,0.6000000000000001,14,330,20,6,True
666,0.6000000000000001,14,330,20,9,False
667,0.6000000000000001,14,330,20,12,True
668,0.6000000000000001,14,360,20,3,True
669,0.6000000000000001,14,360,20,6,True
670,0.6000000000000001,14,360,20,9,False
671,0.6000000000000001,14,360,20,12,True
672,0.6000000000000001,21,30,20,3,False
673,0.6000000000000001,21,30,20,6,False
674,0.6000000000000001,21,30,20,9,False
675,0.6000000000000001,21,30,20,12,False
676,0.6000000000000001,21,60,20,3,False
677,0.6000000000000001,21,60,20,6,False
678,0.6000000000000001,21,60,20,9,False
679,0.6000000000000001,21,60,20,12,True
680,0.6000000000000001,21,90,20,3,False
681,0.6000000000000001,21,90,20,6,False
682,0.6000000000000001,21,90,20,9,True
683,0.6000000000000001,21,90,20,12,True
684,0.6000000000000001,21,120,20,3,False
685,0.6000000000000001,21,120,20,6,False
686,0.6000000000000001,21,120,20,9,True
687,0.6000000000000001,21,120,20,12,False
688,0.6000000000000001,21,150,20,3,True
689,0.6000000000000001,21,150,20,6,False
690,0.6000000000000001,21,150,20,9,False
691,0.6000000000000001,21,150,20,12,True
692,0.6000000000000001,21,180,20,3,False
693,0.6000000000000001,21,180,20,6,False
694,0.6000000000000001,21,180,20,9,False
695,0.6000000000000001,21,180,20,12,True
696,0.6000000000000001,21,210,20,3,True
697,0.6000000000000001,21,210,20,6,False
698,0.6000000000000001,21,210,20,9,False
699,0.6000000000000001,21,210,20,12,True
700,0.6000000000000001,21,240,20,3,False
701,0.6000000000000001,21,240,20,6,False
702,0.6000000000000001,21,240,20,9,False
703,0.6000000000000001,21,240,20,12,True
